question,model,runs,ok_runs,avg_time_sec,min_time_sec,max_time_sec,avg_tps,avg_distinct_2,avg_len_words,example_1,example_2,example_3
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,granite3.3,2,2,51.195,28.186,74.203,2.92,1.0,16.16,"Qui est mis en évidence, le fond sombre ou les contours de la plante ?","À quel élément devons-nous prêter attention principalement, au fond sombre ou aux bords de la plante ?",Est-ce que l'accent est mis sur le contexte noir ou sur les délimitations de la plante ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,gemma3,2,2,20.148,10.729,29.567,5.52,1.0,14.33,Le fond est-il noir ou le contour de la plante mis en valeur ?,Le contour de la plante ou le fond est mis en évidence ?,Est-ce le fond noir ou le contour de la plante qui est mis en valeur ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,deepseek-r1,2,2,50.481,36.531,64.431,3.31,1.0,22.0,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ...,coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ? ... ?
coloré : Est-ce que ce qui est mis en valeur est le fond noir ou le contour de la plante ?,mistral,2,2,49.677,36.228,63.125,2.46,1.0,15.5,La couleur est-elle plus accentuée sur le fond noir ou sur les bords de la plante?,Est-ce que l'élément coloré est le fond sombre ou les contours de la flore?,Le fond noir ou les contours de la végétation sont mis en relief par la couleur?
Quels modèles ont été testés dans le projet ?,phi3:mini,2,2,33.811,25.113,42.509,4.46,1.0,17.33,"Dans ce projet, quels types de modèles d'apprentissage automatique ou statistiques avons-nous exploités pour les tests?","Le projet a-t-il impliqué l'utilisation et la comparaison de différents algorithmes ou techniques en apprentissage machine ? Si oui, quels étaient-ils?",Quelles approches alternatives au modèle principal ont été évaluées dans ce travail scientifique pour tester leur efficacité par rapport à celui-ci?
Quels modèles ont été testés dans le projet ?,qwen2:1.5b-instruct,2,2,8.806,5.195,12.417,10.11,1.0,10.16,Quels sont les modèles utilisés pour la recherche du projet ?,Quelques exemples de modèles utilisés dans ce projet ?,Quels modèles ont été examinés et appliqués dans notre projet ?
Quels modèles ont été testés dans le projet ?,gemma2:2b,2,2,15.028,9.989,20.067,5.9,1.0,12.34,Quelles étaient les différentes configurations ou modèles utilisés dans le projet ?,Quel type de modèles a-t-on testé au sein du projet ?,Quels modèles ont été évalués et mis en œuvre dans le cadre du projet ?
Quels modèles ont été testés dans le projet ?,stablelm2:1.6b,2,2,14.868,11.219,18.517,10.93,1.0,13.0,"Question originale en français : ""Quels modèles ont été testés dans le projet ?","Réécriture avec une pause : ""... et quels modèles ont été testés dans le projet ?","Réécriture avec un tiret : ""Quels modèles ont-ils été testés dans le projet ?"
Quels modèles ont été testés dans le projet ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,15.124,11.021,19.227,11.13,1.0,9.33,Quels modèles ont été testés dans le projet ?,Lequels modèles ont été testés dans le projet ?,Lequels modèles ont été testés dans le projet ? ...
Quels modèles ont été testés dans le projet ?,phi3,2,2,26.52,18.048,34.991,4.48,1.0,14.5,Lequel des différents types de modèles a été évalué lors du projet ?,"Dans ce travail, quelles variétés de modèles expérimentaux ont-ils mis en œuvre et analysés ?",Quels sont les différentes approches ou configurations de modèle qui ont fait l'objet d'essais dans cette étude ?
Quels modèles ont été testés dans le projet ?,tinydolphin,2,2,10.617,7.995,13.238,15.27,1.0,9.5,Le module de base de la réponse :,Le module de base de la réponse : ?,Le module de base de la réponse : ? ...
Quels modèles ont été testés dans le projet ?,tinyllama,2,2,8.312,6.142,10.482,15.07,1.0,14.0,Les modèles de référence ont été testés dans le projet.,Les modèles de référence ont été testés dans le projet. ?,Les modèles de référence ont été testés dans le projet. ? ...
Quels modèles ont été testés dans le projet ?,qwen2.5:3b-instruct-q4_K_M,2,2,14.46,7.272,21.648,6.97,1.0,10.84,Qui a testé les différents modèles dans le projet ?,Quels étaient les modèles utilisés pour l'analyse du projet ?,Liste des modèles ayant été examinés lors de la réalisation du projet ?
Quels modèles ont été testés dans le projet ?,noushermes_rag,2,2,49.489,36.782,62.195,3.33,1.0,15.33,Le projet a porté sur la mise en œuvre de trois modèles différents pour évaluer leur efficacité.,Les expériences menées au cours du projet ont consisté à tester trois modèles distincts.,"Parmi les aspects étudiés dans le cadre de ce projet, on trouve la mise au point et l'évaluation de trois modèles."
Quels modèles ont été testés dans le projet ?,granite3.3,2,2,44.206,24.813,63.598,2.95,1.0,11.5,Quelles architectures ont fait l'objet d'essais dans ce projet ?,Quelles configurations ont été examinées dans cette étude de projet ?,Quel types de modèles ont été évalués dans cette recherche ?
Quels modèles ont été testés dans le projet ?,gemma3,2,2,15.206,6.135,24.277,5.72,1.0,7.33,Quels modèles ont été évalués ?,Quels modèles ont fait partie du projet ?,Quels modèles ont été soumis à test ?
Quels modèles ont été testés dans le projet ?,deepseek-r1,2,2,48.785,36.49,61.08,3.33,1.0,9.33,Quels modèles ont été testés dans le projet ?,Lequels modèles ont été testés dans le projet ?,Lequels modèles ont été testés dans le projet ? ...
Quels modèles ont été testés dans le projet ?,mistral,2,2,40.907,29.198,52.616,2.48,1.0,10.5,Quels sont les modèles qui ont été évalués dans ce projet ?,Dans quels modèles a-t-on travaillé pour le projet ?,A quels modèles a-t-on appliqué le projet ?
Quelles métriques principales et secondaires ont été utilisées ?,phi3:mini,2,2,32.235,25.17,39.3,3.75,1.0,14.67,Lesquelles des métriques primaires et secondaires ont-elles servi à l'analyse ?,Pourrait-on identifier les principaux indicateurs de performance ainsi que d'autres mesures pertinentes ?,Quels étaient les principales et supplémentaires métriques évaluées dans le cadre du projet ?
Quelles métriques principales et secondaires ont été utilisées ?,qwen2:1.5b-instruct,2,2,12.084,10.306,13.862,10.49,0.99,15.66,Les moyennes de 30 points sont-elles significatives ?,Quel est le rapport entre la moyenne des 30 points et l'efficacité du cours ?,Comment les moyennes des 30 points influencent-elles l'évaluation finale ?
Quelles métriques principales et secondaires ont été utilisées ?,gemma2:2b,2,2,13.499,9.51,17.488,6.29,1.0,11.66,Quels indicateurs ont été utilisés pour mesurer les performances ?,Quelles mesures ont été prises pour évaluer la réussite ?,Quelle est la composition des données utilisées pour l'analyse ?
Quelles métriques principales et secondaires ont été utilisées ?,stablelm2:1.6b,2,2,14.512,9.353,19.671,11.11,1.0,9.33,Quelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ? ...
Quelles métriques principales et secondaires ont été utilisées ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,12.107,10.857,13.358,11.39,1.0,9.33,Quelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ? ...
Quelles métriques principales et secondaires ont été utilisées ?,phi3,2,2,33.081,18.492,47.671,4.63,1.0,15.5,Quels sont les indicateurs principaux et accessoires qui ont été employés pour évaluer le succès de l'entreprise?,"Pour ce projet, quelles étaient les mesures clés et supplémentaires prises en compte lors des analyses ?",Comment les entrepreneurs déterminent-ils leurs principales et secondaires métriques d'évaluation ?
Quelles métriques principales et secondaires ont été utilisées ?,tinydolphin,2,2,10.26,7.612,12.908,15.77,1.0,12.0,Les méta-données principales ont été utilisées pour :,Les méta-,Les méta- ?
Quelles métriques principales et secondaires ont été utilisées ?,tinyllama,2,2,6.978,4.054,9.901,16.76,1.0,13.66,Primary and secondary metrics have been used.,Primary and secondary metrics have been used. ?,Primary and secondary metrics have been used. ? ...
Quelles métriques principales et secondaires ont été utilisées ?,qwen2.5:3b-instruct-q4_K_M,2,2,15.252,9.9,20.603,7.33,1.0,11.34,Quels critères de mesure principaux et secondaires ont été employés ?,Quelles sont les principales et secondaires des indicateurs mesurés ?,Que signifient les indicateurs clés et secondaires ?
Quelles métriques principales et secondaires ont été utilisées ?,noushermes_rag,2,2,35.977,24.962,46.991,3.5,1.0,12.67,Les métriques principales et secondaires utilisées ont été spécifiées dans le texte.,Il est question de métriques principales et secondaires mentionnées dans le document.,Métriques principales et secondaires ont été énoncées pour mesurer les performances.
Quelles métriques principales et secondaires ont été utilisées ?,granite3.3,2,2,44.409,24.281,64.536,3.01,1.0,11.33,Quels critères de performance majeurs et mineurs ont été évalués ?,Quelles mesures primaires et secondaires ont été employées pour l'analyse ?,Quelles variables clés et subséquentes ont été examinées dans cette étude ?
Quelles métriques principales et secondaires ont été utilisées ?,gemma3,2,2,14.377,6.026,22.729,5.84,1.0,6.5,Quelles sont les métriques utilisées ?,Quelles mesures ont été prises ?,Quelles sont les indicateurs clés utilisés ?
Quelles métriques principales et secondaires ont été utilisées ?,deepseek-r1,2,2,48.907,36.558,61.256,3.35,1.0,9.33,Quelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ?,Lequelles métriques principales et secondaires ont été utilisées ? ...
Quelles métriques principales et secondaires ont été utilisées ?,mistral,2,2,36.245,23.234,49.255,2.55,1.0,9.5,Quels sont les indicateurs principaux et secondaires mis en œuvre ?,Quel type d'indicateurs primaires et secondaires ont été employés ?,Quels sont les principaux et secondaires indicateurs utilisés ?
Quels sont les objectifs du projet et le contexte d'usage ?,phi3:mini,2,2,29.779,21.496,38.062,4.63,1.0,18.66,Pouvez-vous détailler les buts recherchés par ce projet ainsi que l’environnement dans lequel il doit être déployé ?,Pourriez-vous expliquer comment ce projet vise à atteindre ses objectifs et le cadre spécifique où il est destiné à opérer ?,"Quels sont les principaux objectifs du projet en question, et quel contexte d'utilisation s'impose pour son application concrète ?"
Quels sont les objectifs du projet et le contexte d'usage ?,qwen2:1.5b-instruct,2,2,7.659,3.885,11.433,10.87,1.0,9.66,Quels sont les objectifs du projet et le contexte d'utilisation ?,Lequels sont les objectifs du projet et le contexte d'utilisation ?,Lequels sont les objectifs du projet et le contexte d'utilisation ? ...
Quels sont les objectifs du projet et le contexte d'usage ?,gemma2:2b,2,2,15.591,10.957,20.225,6.14,1.0,12.34,Quel est l'objectif principal du projet et dans quel contexte s'en sert-il?,Quels sont les buts visés par ce projet et comment est-ce utilisé?,Décrivez les objectifs du projet et le contexte d'utilisation.
Quels sont les objectifs du projet et le contexte d'usage ?,stablelm2:1.6b,2,2,15.354,10.977,19.732,11.11,1.0,11.33,Quels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ? ...
Quels sont les objectifs du projet et le contexte d'usage ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,14.521,10.529,18.514,11.5,1.0,11.33,Quels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ? ...
Quels sont les objectifs du projet et le contexte d'usage ?,phi3,2,2,30.085,23.393,36.777,4.62,1.0,17.5,Pouvez-vous détailler les objectifs spécifiques et l'environnement dans lequel ce projet doit être déployé ?,"Pourriez-vous expliquer en quoi consiste ce projet, ses buts précis et le cadre d'application prévu ?",Quels sont les finalités du projet que vous avez mentionné et comment il s'inscrit dans un contexte particulier de fonctionnement ?
Quels sont les objectifs du projet et le contexte d'usage ?,tinydolphin,2,2,10.245,7.519,12.97,15.85,1.0,15.5,Quels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ? ...
Quels sont les objectifs du projet et le contexte d'usage ?,tinyllama,2,2,8.588,5.81,11.367,16.25,0.992,26.83,"Les objectifs du projet sont de promouvoir la cohésion sociale, la solidarité et l'égalité des sexes dans les communautés francophones et anglophones.","Le contexte d'usage est le monde entier où plusieurs langues sont utilisées pour la communication, notamment en France, aux États-Unis, au Canada, en Europe et dans d'autres pays.","Le contexte d'usage est le monde entier où plusieurs langues sont utilisées pour la communication, notamment en France, aux États-Unis, au Canada, en Europe et dans d'autres pays. ?"
Quels sont les objectifs du projet et le contexte d'usage ?,qwen2.5:3b-instruct-q4_K_M,2,2,16.113,8.594,23.633,7.31,1.0,12.17,Quels sont les objectifs du projet et dans quelles situations se posent-ils ?,"Que visent les développeurs avec ce projet, et où l'utiliseront-ils ?","Pourquoi ont-ils initié ce projet, et comment le feront-ils utiliser ?"
Quels sont les objectifs du projet et le contexte d'usage ?,noushermes_rag,2,2,49.459,35.107,63.812,3.46,1.0,27.84,"Le projet a pour but de développer un outil informatique permettant de répondre à des besoins spécifiques dans un certain contexte. L'outil sera utilisé par une population cible déterminée, dans l'objectif d'améliorer ou faciliter certaines tâches.",Les objectifs du projet sont de créer un système informatique destiné à répondre aux exigences particulières d'un contexte donné. L'outil,Les objectifs du projet sont de créer un système informatique destiné à répondre aux exigences particulières d'un contexte donné. L'outil ?
Quels sont les objectifs du projet et le contexte d'usage ?,granite3.3,2,2,43.986,22.783,65.19,3.0,1.0,11.83,Quelles sont les finalités et le cadre d'application du projet ?,Qu'est-ce que le projet vise à accomplir et dans quel contexte sera-t-il utilisé ?,Quels en sont les buts définis et le contexte d'emploi prévu ?
Quels sont les objectifs du projet et le contexte d'usage ?,gemma3,2,2,16.227,6.548,25.905,5.75,1.0,7.83,Quels sont les objectifs du projet ?,Quel est le contexte d'utilisation du projet ?,Décrivez les objectifs et le contexte d'utilisation du projet.
Quels sont les objectifs du projet et le contexte d'usage ?,deepseek-r1,2,2,48.561,35.787,61.336,3.4,1.0,11.33,Quels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ?,Lequels sont les objectifs du projet et le contexte d'usage ? ...
Quels sont les objectifs du projet et le contexte d'usage ?,mistral,2,2,42.528,27.25,57.805,2.54,1.0,14.17,Quels sont les buts de ce projet et dans quel contexte il sera utilisé ?,Que sert le projet et pour quelle utilisation est-il destiné ?,Dans quel but est-ce que le projet a été conçu et dans quel environnement d'utilisation il sera mis en œuvre ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,phi3:mini,2,2,27.068,17.109,37.027,4.64,1.0,12.66,Comment se mesure-t-on la capacité d'EfficientNetV2M à traiter les données de manière efficace?,Peux-tu me fournir des informations sur l résultats obtenus avec le modèle EfficientNetV2M ?,Quelles améliorations par rapport aux versions antérieures apporte EfficientNetV2M en termes d'efficacité et de précision?
Quelle est la performance globale atteinte par EfficientNetV2M ?,qwen2:1.5b-instruct,2,2,9.448,5.982,12.914,10.86,1.0,9.84,Comment se comporte l'efficience globale de l'architecture EfficientNetV2M ?,Quel est le niveau de performance global obtenu par l'EfficientNetV2M ?,Quelle est la performance globale maximale atteinte par l'EfficientNetV2M ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,gemma2:2b,2,2,15.816,12.889,18.744,6.3,1.0,11.67,Quel est le niveau de performance du modèle EfficientNetV2M ?,Comment se classe EfficientNetV2M en termes de performance globale ?,Quelles sont les performances globales obtenues par EfficientNetV2M ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,stablelm2:1.6b,2,2,13.064,10.748,15.38,11.01,1.0,9.33,Quelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ? ...
Quelle est la performance globale atteinte par EfficientNetV2M ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,14.701,10.536,18.867,11.58,1.0,9.33,Quelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ? ...
Quelle est la performance globale atteinte par EfficientNetV2M ?,phi3,2,2,29.12,26.26,31.981,4.65,1.0,14.34,Comment s'est avérée la performance d’EfficientNetV2M dans son ensemble ?,Dans quelle mesure EfficientNetV2M a-t-il réussi sur les benchmarks globaux de performances ?,Quelle est l'évaluation cumulative des résultats obtenus par EfficientNetV2M ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,tinydolphin,2,2,9.907,7.471,12.343,16.05,0.834,5.67,Quelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ? ...
Quelle est la performance globale atteinte par EfficientNetV2M ?,tinyllama,2,2,9.666,7.562,11.77,16.29,0.834,12.83,Quelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ? ...
Quelle est la performance globale atteinte par EfficientNetV2M ?,qwen2.5:3b-instruct-q4_K_M,2,2,15.377,8.817,21.937,7.37,1.0,8.84,Quelle performance a été réalisée par EfficientNetV2M en général ?,Comment se mesure la performance totale d'EfficientNetV2M ?,Quel est le score global de performance d'EfficientNetV2M ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,noushermes_rag,2,2,48.862,35.122,62.603,3.44,1.0,17.16,La performance globale de EfficientNetV2M n'est pas connue sans préciser l'application ou le dataset utilisé.,EfficientNetV2M affiche des performances globales variées en fonction du dataset et de l'architecture spécifique utilisée.,"La performance globale d'EfficientNetV2M dépend des critères de mesure utilisés, comme la précision ou la rapidité."
Quelle est la performance globale atteinte par EfficientNetV2M ?,granite3.3,2,2,45.011,21.817,68.206,2.99,1.0,8.34,Quelle efficacité globale démontre EfficientNetV2M ?,Quelle est la performance moyenne obtenue par EfficientNetV2M ?,Quelles sont les résultats généraux de l'efficacité d'EfficientNetV2M ?
Quelle est la performance globale atteinte par EfficientNetV2M ?,gemma3,2,2,17.453,8.481,26.425,5.75,1.0,6.33,Quelle est la performance globale d'EfficientNetV2M ?,EfficientNetV2M : quelle performance globale ?,Rapports sur la performance globale d'EfficientNetV2M.
Quelle est la performance globale atteinte par EfficientNetV2M ?,deepseek-r1,2,2,48.359,35.694,61.025,3.41,1.0,9.33,Quelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ?,Lequelle est la performance globale atteinte par EfficientNetV2M ? ...
Quelle est la performance globale atteinte par EfficientNetV2M ?,mistral,2,2,40.07,26.317,53.822,2.54,1.0,8.5,Quel est le taux global de performance d'EfficientNetV2M ?,Quelle est la performance globale obtenue avec EfficientNetV2M ?,Combien de performance globales atteint-il EfficientNetV2M ?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,phi3:mini,2,2,28.066,20.394,35.739,4.63,1.0,14.67,Lesquelles sont les difficultés particulières rencontrées avec cette classe de plantes ?,Pouvez-vous décrire précisément les problèmes qui se posent lors du traitement des tubercules cassave ?,Quels enjeux techniques ou pratiques particuliers doit-on considérer pour la culture et l'élevage de cette plante ?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,qwen2:1.5b-instruct,2,2,11.095,8.518,13.672,10.84,1.0,13.0,Quelques problèmes spécifiques ont-ils rencontrés lors de l'étude de la Cassava?,Quels obstacles spécifiques ont-ils affronté pendant l'exploration de la Cassava?,Quelles difficultés spécifiques ont-ils rencontrées dans l'étude de la Cassava?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,gemma2:2b,2,2,14.7,11.754,17.647,6.33,1.0,12.16,Quels problèmes ont été signalés concernant la classe Cassava ?,Que de difficultés spécifiques a rencontré la classe Cassava ?,Quelles obstacles ont-ils rencontrés en classe Cassava ?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,stablelm2:1.6b,2,2,14.733,10.692,18.774,11.32,1.0,16.33,"Quelles problématiques liées à l'utilisation du terme ""cassave"" ont été rencontrées dans le contexte scolaire?","Quelques préoccupations émergentes concernant l'apport nutritionnel du cormo (ou cestal, selon certaines variantes) présentent-elles des risques pour la santé ou les habitudes alimentaires des élèves?",Quels défis ont été rencontrés pour aborder et discuter
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,aroxima/gte-qwen2-1.5b-instruct:q5_k_m,2,2,12.505,10.588,14.422,11.57,1.0,11.33,Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ? ...
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,phi3,2,2,29.843,24.893,34.794,4.65,1.0,16.16,Lesquelles sont les problèmes particuliers identifiés pour l'enseignement de la classe Cassava?,Comment ces difficultés affectent-elles le cours d'étude des plantes du genre Cassava?,"Quels défis uniques posent les espèces de la famille Bixaceae, telles que la cassave, pour les étudiants en botanique?"
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,tinydolphin,2,2,9.746,7.585,11.907,16.04,0.994,12.66,Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ? ...
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,tinyllama,2,2,8.522,7.504,9.54,16.15,1.0,11.33,Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ? ...
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,qwen2.5:3b-instruct-q4_K_M,2,2,15.405,9.535,21.276,7.35,1.0,11.5,Quels problèmes ont-ils eu avec la classe Cassava ?,À quoi se réfèrent les obstacles rencontrés dans la classe Cassava ?,Quelles étaient les contraintes lors de l'étude de la classe Cassava ?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,noushermes_rag,2,2,50.502,38.6,62.405,3.29,1.0,18.84,"La classe Cassava a connu plusieurs défis, tels que le manque de compréhension des enseignements, les problèmes d’intégration et l’adaptation aux nouvelles méthodes pédagogiques.","Parmi les obstacles rencontrés par la classe Cassava, on peut citer la difficulté à suivre les enseignements, les problèmes de communication et les différences culturelles.",La classe Cassava a été confrontée à
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,granite3.3,2,2,45.406,23.728,67.083,2.98,1.0,11.84,Quelles problèmes particuliers se sont présentés dans le groupe Cassava ?,Quels défis spécifiques ont été identifiés pour la cohorte Cassava ?,Quelles difficultés particulières ont été observées pour les membres de la classe Cassava ?
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,gemma3,2,2,17.251,8.19,26.312,5.75,1.0,9.84,Quelles sont les difficultés rencontrées sur la classe Cassava ?,Quelles problèmes ont été observés dans la classe Cassava ?,"Sur la classe Cassava, quelles difficultés ont surgi ?"
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,deepseek-r1,2,2,49.778,36.277,63.278,3.34,1.0,11.33,Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,Lequelles difficultés spécifiques ont été rencontrées sur la classe Cassava ? ...
Quelles difficultés spécifiques ont été rencontrées sur la classe Cassava ?,mistral,2,2,43.195,32.632,53.758,2.54,1.0,12.0,Quels ennuis particuliers ont été observés dans la classe Cassava ?,Quels problèmes spécifiques ont été identifiés lors de la classe Cassava ?,A quelles difficultés a-t-on rencontré sur la classe Cassava ?
